x1 x2 x3 x4 tipo
2.144 0.5 0.122 0.246 1
2.19 0.543 0.07 0.459 1
2.121 0.58 0.135 0.501 1
2.745 0.367 0.075 0.466 1
2.588 0.492 0.014 0.258 1
2.657 0.362 0.113 0.443 1
2.022 0.494 0.122 0.302 1
3.195 0.379 0.117 0.282 1
2.664 0.621 0.05 0.38 1
1.688 0.389 0.06 0.411 1
1.589 0.322 0.073 0.286 1
1.318 0.56 0.103 0.342 1
2.577 0.354 0.084 0.288 1
1.399 0.551 0.03 0.336 1
1.084 0.443 0.107 0.223 1
1.133 0.535 0.008 0.463 1
1.182 0.447 0.066 0.293 1
1.762 0.52 0.093 0.397 1
2.541 0.483 0.075 0.387 1
2.327 0.369 0.052 0.483 1
1.854 0.495 0.099 0.469 1
1.443 0.512 0.02 0.375 1
1.829 0.455 0.08 0.441 1
1.746 0.332 0.083 0.348 1
3.44 0.48 0.043 0.562 1
2.701 0.446 0.113 0.328 1
2.657 0.492 0.086 0.26 1
2.746 0.594 0.132 0.526 1
1.643 0.376 0.079 0.4 1
3.222 0.419 0.044 0.294 1
2.001 0.512 0.071 0.444 1
1.458 0.42 0.032 0.314 1
2.189 0.442 0.088 0.34 1
2.608 0.482 0.057 0.321 1
0.931 0.597 0.13 0.407 1
1.578 0.404 0.085 0.25 1
1.778 0.446 0.116 0.548 1
2.082 0.384 0.076 0.372 1
2.408 0.239 0.059 0.289 1
2.405 0.485 0.085 0.389 1
1.715 0.429 0.076 0.331 1
1.002 0.607 0.069 0.447 1
0.881 0.523 0.102 0.285 1
1.787 0.484 0.089 0.319 1
2.4 0.441 0.085 0.111 1
1.105 0.397 0.064 0.315 1
1.455 0.49 0.09 0.226 1
2.15 0.465 0.122 0.335 1
1.916 0.496 0.069 0.237 1
2.15 0.42 0.081 0.274 1
1.917 0.566 0.041 0.368 1
0.703 0.352 0.02 0.41 1
2.726 0.397 0.069 0.527 1
2.13 0.566 0.094 0.374 1
1.814 0.535 0.07 0.423 1
1.927 0.592 0.068 0.44 1
1.216 0.374 0.03 0.359 1
1.993 0.524 0.079 0.484 1
2.171 0.652 0.08 0.377 1
3.113 0.635 0.105 0.484 1
2.504 0.47 0.067 0.369 1
2.276 0.388 0.125 0.439 1
1.816 0.5 0.019 0.314 1
1.777 0.412 0.098 0.412 1
1.806 0.466 0.104 0.551 1
2.214 0.717 0.046 0.429 1
1.542 0.433 0.063 0.367 1
2.314 0.446 0.07 0.408 1
2.089 0.481 0.122 0.273 1
1.917 0.571 0.122 0.393 1
2.08 0.648 0.119 0.455 1
1.23 0.657 0.111 0.359 1
2.117 0.61 0.075 0.265 1
1.694 0.437 0.054 0.429 1
2.26 0.419 0.065 0.354 1
2.267 0.504 0.094 0.532 1
2.362 0.379 0.069 0.252 1
2.713 0.443 0.08 0.466 1
1.462 0.389 0.071 0.286 1
3.149 0.452 0.094 0.459 1
1.661 0.417 0.15 0.36 1
1.87 0.494 0.043 0.556 1
2.181 0.502 0.142 0.293 1
2.386 0.488 0.047 0.397 1
2.15 0.676 0.052 0.351 1
1.871 0.31 0.125 0.111 1
2.204 0.494 0.083 0.417 1
1.877 0.432 0.114 0.45 1
2.323 0.464 0.135 0.453 1
2.792 0.518 0.034 0.273 1
2.256 0.486 0.067 0.16 1
0.978 0.439 0.004 0.4 1
2.2 0.302 0.083 0.35 1
3.152 0.418 0.095 0.419 1
2.773 0.37 0.084 0.574 1
2.034 0.537 0.101 0.34 1
2.567 0.467 0.089 0.456 1
1.182 0.446 0.092 0.404 1
1.6 0.63 0.069 0.372 1
2.623 0.184 0.1 0.265 1
2.423 0.415 0.053 0.375 1
1.673 0.465 0.057 0.333 1
1.812 0.537 0.088 0.516 1
1.795 0.527 0.077 0.314 1
2.093 0.377 0.051 0.162 1
2.6 0.505 0.066 0.378 1
1.406 0.508 -0.003 0.448 1
2.341 0.512 0.026 0.4 1
2.098 0.247 0.1 0.129 1
2.6 0.463 0.051 0.316 1
2.255 0.524 0.083 0.426 1
1.799 0.605 0.103 0.225 1
2.654 0.583 0.105 0.472 1
1.206 0.463 0.135 0.271 1
2.925 0.456 0.03 0.428 1
2.799 0.474 0.119 0.274 1
1.692 0.501 0.078 0.375 1
1.495 0.58 0.076 0.313 1
2.439 0.366 0.146 0.285 1
2.461 0.476 0.11 0.277 1
1.033 0.483 0.086 0.278 1
1.792 0.408 0.159 0.367 1
2.713 0.467 0.094 0.354 1
2.716 0.492 0.086 0.487 1
0.744 0.625 0.043 0.443 1
2.456 0.464 0.101 0.405 1
1.755 0.265 0.119 0.187 1
0.946 0.412 0.095 0.199 1
2.219 0.443 0.077 0.36 1
2.229 0.405 0.037 0.335 1
1.235 0.518 0.087 0.27 1
1.562 0.508 0.086 0.322 1
0.966 0.592 0.067 0.379 1
2.226 0.506 0.061 0.56 1
0.356 0.556 0.057 0.253 1
2.358 0.584 0.112 0.193 1
2.567 0.538 0.073 0.382 1
2.32 0.378 0.088 0.354 1
2.218 0.569 0.086 0.455 1
2.683 0.372 0.018 0.291 1
1.336 0.357 0.117 0.272 1
2.146 0.463 0.107 0.368 1
1.985 0.361 0.04 0.397 1
1.276 0.467 0.103 0.218 1
1.801 0.429 0.068 0.396 1
2.01 0.461 0.073 0.386 1
2.167 0.549 0.118 0.439 1
2.847 0.498 0.071 0.327 1
2.899 0.599 0.075 0.369 1
1.541 0.385 0.05 0.308 1
1.84 0.502 0.061 0.396 1
1.27 0.307 0.077 0.386 1
2.494 0.548 0.106 0.679 1
1.655 0.548 0.104 0.244 1
2.239 0.419 0.084 0.393 1
1.697 0.389 0.07 0.497 1
1.773 0.363 0.078 0.395 1
2.095 0.51 0.148 0.289 1
1.33 0.44 0.08 0.338 1
2.543 0.543 0.141 0.462 1
2.301 0.587 0.081 0.403 1
2.222 0.494 0.112 0.168 1
1.109 0.451 0.057 0.31 1
2.44 0.499 0.085 0.385 1
2.613 0.275 0.134 0.422 1
2.062 0.41 0.128 0.327 1
1.721 0.675 0.056 0.441 1
2.518 0.668 0.103 0.274 1
3.176 0.421 0.131 0.348 1
2.326 0.73 0.127 0.488 1
1.576 0.536 0.094 0.422 1
2.001 0.413 0.08 0.317 1
2.066 0.493 0.03 0.187 1
2.379 0.506 0.106 0.457 1
1.531 0.567 0.102 0.45 1
2.42 0.494 0.153 0.391 1
2.46 0.5 0.103 0.495 1
3.577 0.359 0.097 0.348 1
2.903 0.434 0.042 0.446 1
1.517 0.422 0.07 0.392 1
1.485 0.483 0.078 0.344 1
2.341 0.4 0.097 0.375 1
2.234 0.558 0.159 0.274 1
2.359 0.453 0.072 0.311 1
1.549 0.488 0.108 0.542 1
1.725 0.557 0.112 0.179 1
1.698 0.49 0.114 0.546 1
2.271 0.577 0.038 0.476 1
2.005 0.667 0.039 0.365 1
1.762 0.329 0.04 0.134 1
2.618 0.518 0.089 0.271 1
2.011 0.354 0.114 0.229 1
2.501 0.295 0.082 0.458 1
2.007 0.467 0.066 0.472 1
1.912 0.421 0.067 0.217 1
2.481 0.487 0.028 0.489 1
2.589 0.433 0.031 0.264 1
1.715 0.275 0.071 0.113 1
1.393 0.618 0.066 0.254 1
2.561 0.503 0.173 0.351 1
2.059 0.162 0.066 0.22 1
1.21 0.597 0.071 0.435 1
2.241 0.473 0.114 0.285 1
2.85 0.571 0.053 0.311 1
1.869 0.467 0.081 0.376 1
0.491 0.465 0.02 0.31 1
2.403 0.508 0.105 0.559 1
2.784 0.454 0.143 0.413 1
2.103 0.556 0.089 0.226 1
1.46 0.488 0.059 0.265 1
2.093 0.398 0.081 0.114 1
2.654 0.66 0.038 0.458 1
1.951 0.317 0.081 0.263 1
2.548 0.547 0.064 0.345 1
1.552 0.724 0.106 0.365 1
2.477 0.591 0.066 0.447 1
2.356 0.332 0.111 0.484 1
2.656 0.619 0.059 0.594 1
2.521 0.58 0.139 0.313 1
1.131 0.503 0.104 0.495 1
1.419 0.506 0.075 0.321 1
1.858 0.558 0.057 0.403 1
1.892 0.569 0.065 0.43 1
1.321 0.519 0.1 0.411 1
1.807 0.592 0.043 0.643 1
2.959 0.234 0.056 0.222 1
2.018 0.445 0.025 0.366 1
2.468 0.511 0.094 0.392 1
1.882 0.433 0.112 0.219 1
2.518 0.696 0.111 0.392 1
1.795 0.556 0.084 0.402 1
1.891 0.616 0.143 0.404 1
2.088 0.423 0.077 0.245 1
1.291 0.697 0.092 0.646 1
2.005 0.77 -0.012 0.534 1
2.181 0.498 0.094 0.346 1
3.649 0.269 0.1 0.403 1
2.025 0.479 0.068 0.368 1
2.1 0.226 0.115 0.212 1
1.634 0.521 0.104 0.45 1
2.449 0.536 0.064 0.224 1
2.652 0.511 0.073 0.368 1
2.34 0.465 0.062 0.443 1
2.007 0.515 0.062 0.207 1
1.737 0.454 0.043 0.183 1
2.281 0.264 0.081 0.281 1
2.004 0.511 0.094 0.35 1
2.621 0.604 0.156 0.448 1
2.289 0.311 0.081 0.346 1
2.241 0.205 0.078 0.177 1
1.282 0.565 0.106 0.471 1
2.117 0.306 0.068 0.307 1
2.523 0.505 0.109 0.47 1
1.509 0.508 0.055 0.333 1
2.062 0.353 0.071 0.417 1
1.363 0.563 0.105 0.213 1
1.526 0.68 0.091 0.441 1
2.479 0.348 0.067 0.309 1
2.39 0.647 0.089 0.427 1
2.811 0.454 0.078 0.554 1
2.2 0.417 0.082 0.525 1
1.858 0.438 0.087 0.307 1
2.886 0.569 0.138 0.35 1
1.832 0.352 0.114 0.324 1
1.839 0.601 0.103 0.24 1
1.582 0.537 0.08 0.495 1
2.235 0.455 0.024 0.371 1
1.78 0.466 0.104 0.127 1
1.688 0.645 0.124 0.192 1
2.611 0.422 0.073 0.246 1
1.12 0.445 0.083 0.212 1
2.059 0.948 0.208 0.663 2
1.544 0.725 0.106 0.397 2
0.989 0.728 0.041 0.278 2
2.448 0.417 0.137 0.45 2
2.518 0.661 0.113 0.58 2
1.915 0.777 0.279 0.604 2
2.888 0.707 0.146 0.399 2
2.455 0.532 0.14 0.414 2
1.547 0.717 0.176 0.429 2
2.454 0.436 0.183 0.349 2
1.647 0.54 0.035 0.304 2
2.966 0.545 0.043 0.722 2
1.138 0.722 0.279 0.194 2
3.538 0.437 0.156 0.592 2
2.309 0.502 0.047 0.246 2
2.528 0.529 0.141 0.555 2
2.153 0.517 0.106 0.314 2
1.563 0.468 0.102 0.449 2
1.461 0.429 -0.02 0.141 2
1.711 0.649 0.089 0.234 2
2.139 0.333 0.076 0.263 2
1.732 0.884 0.226 0.457 2
2.088 0.502 0.125 0.4 2
1.913 0.335 0.162 0.257 2
2.943 0.516 0.073 0.638 2
2.466 0.597 0.039 0.399 2
2.497 0.496 0.186 0.332 2
1.907 0.652 0.015 0.551 2
2.675 0.849 0.144 0.628 2
2.234 0.419 0.16 0.384 2
1.67 0.362 -0.024 0.371 2
1.793 0.547 0.131 0.321 2
2.27 0.458 0.05 0.379 2
1.144 0.497 0.039 0.288 2
2.621 0.384 0.029 0.453 2
1.716 0.558 0.18 0.503 2
0.827 0.553 0.124 0.36 2
2.907 0.763 0.075 0.381 2
3.161 0.752 0.094 0.375 2
2.402 0.581 0.081 0.399 2
2.617 0.778 0.078 0.452 2
2.296 0.83 0.272 0.535 2
1.686 0.414 0.196 0.109 2
2.62 0.802 0.235 0.437 2
2.195 0.655 0.088 0.534 2
2.139 0.722 0.095 0.451 2
1.585 0.172 0.045 0.081 2
2.798 0.388 0.034 0.321 2
1.002 0.707 0.119 0.378 2
2.557 0.457 0.093 0.365 2
2.896 0.683 0.088 0.502 2
0.62 0.466 0.192 0.361 2
1.661 0.274 -0.046 0.212 2
1.551 0.587 0.105 0.305 2
1.812 0.817 0.081 0.515 2
2.922 0.708 0.074 0.322 2
3.242 0.711 0.128 0.585 2
2.744 0.508 0.097 0.209 2
1.869 0.801 0.075 0.419 2
2.85 0.47 0.039 0.423 2
2.748 0.4 0.047 0.468 2
1.459 0.386 0.232 0.35 2
2.028 0.561 0.149 0.569 2
1.672 0.472 0.09 0.462 2
2.188 0.691 0.135 0.551 2
3.143 0.382 0.062 0.245 2
1.701 0.338 0.125 0.416 2
3.687 0.871 0.139 0.552 2
1.698 0.736 0.187 0.417 2
3.845 0.76 0.099 0.576 2
3.377 0.505 0.133 0.477 2
0.921 0.47 0.047 0.467 2
1.438 0.703 0.152 0.472 2
2.34 0.713 0.153 0.475 2
1.463 0.67 0.083 0.418 2
1.477 0.891 0.182 0.464 2
2.509 0.551 0.092 0.553 2
2.86 0.66 0.097 0.601 2
1.019 0.657 0.034 0.289 2
3.843 0.598 0.024 0.432 2
1.349 0.447 0.124 0.267 2
2.057 0.428 0.056 0.24 2
4.344 0.714 -0.057 0.631 2
2.949 0.568 0.307 0.427 2
1.794 0.776 0.085 0.697 2
1.682 0.854 0.181 0.485 2
3.544 0.4 0.094 0.569 2
2.269 0.713 0.121 0.54 2
1.794 0.282 0.048 0.277 2
1.273 0.627 0.183 0.555 2
2.386 0.559 0.148 0.253 2
1.036 0.836 0.112 0.401 2
3.319 0.427 0.15 0.457 2
2.537 0.694 0.181 0.549 2
0.85 0.779 0.133 0.323 2
2.52 0.608 0.092 0.328 2
3.886 0.373 0.1 0.384 2
2.278 0.422 0.089 0.472 2
1.716 0.434 -0.097 0.332 2
3.113 0.768 0.276 0.563 2
2.827 0.464 -0.007 0.371 2
2.576 0.628 0.099 0.496 2
1.919 0.592 0.064 0.508 2
3.466 0.7 0.127 0.517 2
3.276 0.709 0.18 0.693 2
3.244 0.717 0.056 0.156 2
1.447 0.818 0.21 0.468 2
2.525 0.374 0.146 0.701 2
1.641 0.725 0.125 0.362 2
3.194 0.528 0.122 0.595 2
2.168 0.777 0.185 0.33 2
1.636 0.397 0.062 0.252 2
-0.606 0.871 0.162 0.158 2
3.389 0.718 0.291 0.61 2
1.878 0.472 0.126 0.55 2
2.992 0.393 0.229 0.518 2
2.645 0.66 0.139 0.471 2
2.153 0.584 0.088 0.322 2
2.472 0.54 0.088 0.531 2
3.719 0.468 0.134 0.412 2
2.464 0.281 0.104 0.362 2
2.043 0.403 0.08 0.516 2
2.223 0.697 0.111 0.502 2
1.593 0.564 0.023 0.338 2
2.776 0.584 0.06 0.509 2
1.411 0.552 0.241 0.249 2
2.288 0.713 0.159 0.499 2
1.502 0.521 0.059 0.493 2
1.544 0.356 0.008 0.218 2
1.641 0.549 0.084 0.492 2
1.459 0.445 0.088 0.653 2
3.494 0.802 0.119 0.477 2
2.664 0.6 -0.003 0.368 2
1.952 0.511 0.071 0.444 2
0.817 0.467 0.104 0.234 2
2.077 0.569 0.049 0.419 2
3.376 0.793 0.176 0.629 2
1.996 0.427 0.043 0.241 2
2.375 0.521 0.005 0.301 3
1.636 0.184 0.062 0.22 3
1.754 0.642 0.063 0.537 3
2.839 0.587 0.105 0.54 3
1.498 0.217 0.138 0.234 3
1.782 0.27 0.125 0.461 3
2.273 0.472 0.172 0.335 3
1.925 0.416 0.125 0.435 3
3.048 0.437 0.312 0.455 3
2.816 0.326 0.01 0.343 3
2.597 0.566 0.004 0.481 3
1.818 0.408 -0.026 0.295 3
2.64 0.597 0.173 0.258 3
2.161 0.513 0.017 0.301 3
2.976 0.591 0.109 0.442 3
2.391 0.503 0.142 0.26 3
2.113 0.67 0.126 0.55 3
2.943 0.687 0.185 0.444 3
2.243 0.45 0.191 0.229 3
2.855 0.605 0.065 0.471 3
3.022 0.717 0.153 0.66 3
3.133 0.6 0.146 0.302 3
1.128 0.417 0.275 0.451 3
2.105 0.509 0.087 0.408 3
2.492 0.485 0.172 0.399 3
1.863 0.504 0.301 0.44 3
2.656 0.627 0.102 0.331 3
2.67 0.593 0.026 0.379 3
1.866 0.594 0.091 0.385 3
2.527 0.525 0.139 0.202 3
2.676 0.639 0.203 0.424 3
2.825 0.396 0.132 0.518 3
3.06 0.502 0.017 0.334 3
2.629 0.499 0.1 0.378 3
2.314 0.613 0.157 0.636 3
1.673 0.519 0.111 0.273 3
2.083 0.594 0.152 0.61 3
1.749 0.686 0.138 0.603 3
2.36 0.452 0.11 0.449 3
1.622 0.298 0.179 0.512 3
1.912 0.488 0.141 0.312 3
2.542 0.566 0.14 0.213 3
2.7 0.681 0.065 0.564 3
3.133 0.652 0.15 0.594 3
2.171 0.75 0.19 0.426 3
1.334 0.549 0.172 0.338 3
1.723 0.334 0.103 0.545 3
2.706 0.488 0.037 0.537 3
1.695 0.314 0.149 0.373 3
3.13 0.584 0.152 0.429 3
1.879 0.397 0.13 0.25 3
2.596 0.525 0.036 0.44 3
2.449 0.477 0.088 0.462 3
2.976 0.528 0.069 0.277 3
2.048 0.613 0.15 0.504 3
3.193 0.61 0.177 0.556 3
1.851 0.57 0.07 0.364 3
2.321 0.254 0.089 0.48 3
2.467 0.333 0.14 0.185 3
1.865 0.529 0.07 0.249 3
2.24 0.316 0.108 0.392 3
2.333 0.591 0.125 0.491 3
2.861 0.61 0.185 0.335 3
2.209 0.589 0.2 0.391 3
2.528 0.233 0.138 0.358 3
2.737 0.72 0.066 0.441 3
2.365 0.483 0.06 0.359 3
3.171 0.651 0.201 0.451 3
2.637 0.422 0.082 0.315 3
2.948 0.602 0.134 0.317 3
2.343 0.593 0.14 0.259 3
2.15 0.34 0.107 0.223 3
2.239 0.543 0.044 0.292 3
2.701 0.571 0.176 0.517 3
2.249 0.456 0.095 0.397 3
2.441 0.596 0.057 0.353 3
2.342 0.597 0.181 0.366 3
2.828 0.375 0.159 0.305 3
2.456 0.664 0.128 0.422 3
2.033 0.436 0.114 0.413 3
2.904 0.613 0.079 0.4 3
2.473 0.603 0.151 0.255 3
2.402 0.364 0.203 0.376 3
1.88 0.697 0.068 0.469 3
2.405 0.475 0.173 0.376 3
2.388 0.499 0.156 0.441 3
1.863 0.469 0.011 0.455 3
2.657 0.485 0.025 0.278 3
2.03 0.405 0.046 0.29 3
1.332 0.513 0.027 0.628 3
1.935 0.628 0.093 0.516 3
2.423 0.598 0.07 0.413 3
2.183 0.56 0.108 0.443 3
1.935 0.517 0.17 0.419 3
2.243 0.646 0.211 0.681 3
2.586 0.505 0.048 0.381 3
2.487 0.735 0.082 0.477 3
2.024 0.554 0.133 0.322 3
2.373 0.661 0.25 0.646 3
2.668 0.506 0.168 0.438 3
3.016 0.425 0.146 0.51 3
2.711 0.641 0.143 0.459 3
2.178 0.506 0.116 0.285 3
2.449 0.437 0.077 0.537 3
2.683 0.876 0.195 0.35 3
2.207 0.62 0.074 0.334 3
0.813 0.343 0.076 0.289 3
