Amostra X1 X2 X3 X4 especie
1 189 245 137 163 Haltica_oleracea
2 192 260 132 217 Haltica_oleracea
3 217 276 141 192 Haltica_oleracea
4 221 299 142 213 Haltica_oleracea
5 171 239 128 158 Haltica_oleracea
6 192 262 147 173 Haltica_oleracea
7 213 278 136 201 Haltica_oleracea
8 192 255 128 185 Haltica_oleracea
9 170 244 128 192 Haltica_oleracea
10 201 276 146 186 Haltica_oleracea
11 195 242 128 192 Haltica_oleracea
12 205 263 147 192 Haltica_oleracea
13 180 252 121 167 Haltica_oleracea
14 192 283 138 183 Haltica_oleracea
15 200 294 138 188 Haltica_oleracea
16 192 277 150 177 Haltica_oleracea
17 200 287 136 173 Haltica_oleracea
18 181 255 146 183 Haltica_oleracea
19 192 287 141 198 Haltica_oleracea
20 181 305 184 209 Haltica_carduorum
21 158 237 133 188 Haltica_carduorum
22 184 300 166 231 Haltica_carduorum
23 171 273 162 213 Haltica_carduorum
24 181 297 163 224 Haltica_carduorum
25 181 308 160 223 Haltica_carduorum
26 177 301 166 221 Haltica_carduorum
27 198 308 141 197 Haltica_carduorum
28 180 286 146 214 Haltica_carduorum
29 177 299 171 192 Haltica_carduorum
30 176 317 166 213 Haltica_carduorum
31 192 312 166 209 Haltica_carduorum
32 176 285 141 200 Haltica_carduorum
33 169 287 162 214 Haltica_carduorum
34 164 265 147 192 Haltica_carduorum
35 181 308 157 204 Haltica_carduorum
36 192 276 154 209 Haltica_carduorum
37 181 278 149 235 Haltica_carduorum
38 175 271 140 192 Haltica_carduorum
39 197 303 170 205 Haltica_carduorum
