Consumidor,A-B,A-C,A-D,A-E,B-C,B-D,B-E,C-D,C-E,D-E
1,8,2,1,5,7,4,9,8,4,5
2,7,3,2,6,6,5,8,7,5,6
3,6,4,2,5,7,4,9,8,4,5
4,7,3,1,6,6,5,8,7,5,6
5,8,2,2,5,7,4,9,8,4,5
6,7,3,1,6,6,5,8,7,5,6
7,9,2,2,5,7,4,9,8,4,5
8,8,3,1,6,6,5,8,7,5,6
9,7,4,2,5,7,4,9,8,4,5
10,6,3,1,6,6,5,8,7,5,6
11,8,3,1,5,7,4,9,8,4,5
12,7,2,2,6,6,5,8,7,5,6
13,6,3,2,5,7,4,9,8,4,5
14,7,2,1,6,6,5,8,7,5,6
15,8,3,2,5,7,4,9,8,4,5
16,7,2,1,6,6,5,8,7,5,6
17,9,3,2,5,7,4,9,8,4,5
18,8,2,1,6,6,5,8,7,5,6
19,7,4,2,5,7,4,9,8,4,5
20,6,3,1,6,6,5,8,7,5,6
21,8,3,1,5,7,4,9,8,4,5
22,7,2,2,6,6,5,8,7,5,6
23,6,3,2,5,7,4,9,8,4,5
24,7,2,1,6,6,5,8,7,5,6
25,8,3,2,5,7,4,9,8,4,5
