"Valor_Medio_Compra","Frequencia_Compra","Itens_Comprados","Tempo_Sessao","Paginas_Visitadas","Itens_Carrinho"
223.74,1,6,27,18,8
323.57,5,7,31,21,8
118.25,5,3,28,14,6
332.67,4,10,32,20,10
193.59,4,5,19,13,5
80.38,2,2,10,7,3
137.32,3,4,15,10,4
148.42,5,4,20,12,5
259.65,3,6,27,23,9
402.05,5,8,35,24,11
75.21,2,2,6,5,2
100.29,5,2,10,6,3
267.33,4,6,27,15,6
55.18,2,1,5,3,1
140.39,5,4,17,11,5
170.48,4,3,19,10,3
109.64,2,2,17,9,3
171.41,4,5,17,13,5
105.01,2,2,10,6,2
250.54,5,7,34,17,7
222.78,5,5,19,12,5
141.29,5,4,15,8,4
310.07,1,11,34,28,11
157.37,4,4,26,14,6
152.07,4,4,24,13,6
124.39,5,3,17,10,4
179.15,3,4,26,13,6
199.47,4,6,21,14,6
78.39,3,2,12,6,2
162.85,3,5,20,12,5
284.43,5,6,29,16,7
21.3,1,1,5,3,1
118.6,1,3,11,8,3
145.65,3,5,25,14,5
82.16,3,2,16,10,3
95.04,2,3,16,8,3
207.81,1,4,31,15,7
327.49,2,9,32,23,9
215.83,5,5,24,17,6
58.72,3,2,9,5,3
179.64,1,4,28,16,6
144.52,2,3,18,11,4
238.14,2,7,33,22,9
180.94,4,5,28,23,8
136.56,3,3,13,8,3
159.2,2,4,15,11,4
60.62,4,2,7,5,2
67.16,2,2,6,4,2
31.62,4,1,7,5,1
220.5,1,5,24,13,5
230.77,5,5,34,16,8
216.73,4,5,30,12,5
123.62,5,3,14,10,4
35.29,4,1,11,4,2
192.53,3,4,27,13,5
151.77,4,4,20,15,5
207.91,4,7,27,19,8
68.08,4,2,7,5,2
103.48,1,2,18,9,4
169.21,2,5,12,10,5
207.08,3,6,29,14,6
84.74,3,3,13,6,3
301.52,4,8,35,23,8
285.01,5,7,28,17,8
292.1,2,7,34,19,8
67.51,3,2,12,6,2
174,4,4,33,16,6
87.1,3,2,9,5,2
176.67,3,4,23,10,4
285.07,3,7,33,20,7
266.76,3,6,26,17,7
72.32,2,2,20,9,3
83.81,2,3,16,11,4
151.93,1,3,15,10,4
42.8,2,1,6,4,2
124.94,2,4,24,10,4
326.13,3,7,34,22,9
157.39,1,6,25,15,6
131.77,4,3,20,11,5
84.63,2,2,10,6,2
242.5,4,6,31,18,7
282.62,4,7,20,16,7
38.56,1,1,5,3,1
61.8,2,1,6,3,1
87.13,5,2,9,5,2
65.94,2,1,14,8,3
227.16,5,7,30,19,7
147.86,5,3,20,12,5
228.48,3,6,29,16,8
62.33,5,2,7,3,2
211.68,3,6,33,19,7
188.62,1,4,29,19,7
41.18,4,1,7,4,1
198.02,4,6,23,18,9
159.58,3,4,26,16,6
232.56,5,5,20,13,5
265.17,2,7,27,20,8
149.73,2,7,27,17,7
71.68,2,1,8,5,2
96.61,5,2,17,7,2
118.89,1,4,14,9,4
240.88,5,8,24,20,8
262.91,1,8,34,22,9
175.15,4,5,24,15,5
142.92,5,4,21,9,4
218.93,4,8,32,16,8
184.56,3,4,24,14,6
257.5,4,6,31,17,7
166.97,2,4,13,9,4
78.04,2,2,11,8,3
181.55,3,4,23,14,6
154.49,5,4,17,12,4
273.28,3,6,28,18,8
132.51,4,4,16,10,4
193.95,3,7,29,16,7
299.21,3,9,32,21,11
279.55,4,6,35,19,7
229.68,3,7,23,15,7
31.11,4,1,5,3,1
111.63,4,2,15,11,4
217.79,4,6,22,15,6
132.54,4,3,20,14,5
75.58,1,2,8,4,2
140.72,4,4,25,14,4
210.34,3,7,26,16,7
119.32,4,4,29,13,5
110.35,2,2,33,18,7
126.44,3,2,11,7,2
93.55,4,3,13,9,3
423.25,2,9,28,19,9
0,2,0,6,4,1
126.21,2,3,25,11,4
305.09,2,8,29,20,8
106.63,2,4,25,15,6
249.24,2,6,33,20,7
149.25,3,6,31,22,8
119.1,2,3,26,13,4
70.84,5,2,11,6,3
121.87,2,2,8,6,2
183.27,4,5,29,16,6
197.83,5,4,21,13,6
236.3,5,5,26,17,7
72.63,5,2,11,5,2
132.51,3,3,24,9,4
64.2,5,2,9,6,2
294.37,1,9,34,23,9
186.4,2,4,35,13,6
195.04,3,5,20,12,5
246.07,2,7,33,19,8
167.47,2,5,16,13,5
